阿斗当皇帝	软弱无能
土地奶奶跟王母娘娘比美	天地之别
土地奶奶和玉皇爷结婚	远亲
土地奶奶坐月子	养神
土地女儿嫁玉皇	一步登天
土地堂里填窟窿	不妙（补庙）
土地爷搬家	走了神
土地爷被虫蛀了	自身难保
土地爷打城隍	管得宽
土地爷打算盘	神机妙算
土地爷的胳膊	麻缠（胡搅蛮缠）
土地爷的蜡台	一对儿
土地爷跟城隍打架	神鬼不安
土地爷管龙王	以上压下
土地爷开银行	钱能通神
土地爷啃地瓜	窝囊神
土地爷理发	鬼头鬼脑
土地爷拿邪	神出鬼没
土地爷拍蚂蚱	慌了神
土地爷逃难	慌了神
土地爷洗脸	失{湿）面子
土地爷捉迷藏	神出鬼没
土地爷坐班房（监狱或拘留所的俗称）	劳（牢）神
土地爷坐深山	没香火
土豆下山	滚蛋
土匪骑疯狗	恶人凶马
土岗子上闹旱灾	山穷水尽
土里埋金	有内才（财）
土瞎子看告示	装模做样
土杏仁伴黄瓜	苦上加苦
土做的人儿	实心眼
吐口唾沫砸个坑	出口有分量
吐鲁番的葡萄	甜透了
吐着耳朵擤（xlng）鼻涕	不对路数
吐着胡子打滴溜（抓住高处物体，使身体悬空）	嘴上功夫；全凭嘴劲
兔儿头，老鼠尾	不伦不类
兔儿爷（兔头人身的泥塑玩具）打架	散摊了
兔儿爷打架	散摊子
兔儿爷过河	软瘫了
兔儿爷拍胸口	没心没肝
兔死狐悲	物伤其类
兔死还要跳三跳	垂死挣扎
兔子扒窝	安家落户
兔子蹦到车辕上	假充大把势（车把势。赶大车的人）
兔子逼急了	还会咬人哩
兔子剥皮	倒扒
兔子成精	比老虎还厉害
兔子吃年糕	闷了口
兔子打架	小打小闹；上蹿下跳
兔子戴夹板	充大耳朵驴
兔子当牛使	乱套了
兔子的耳朵	灵得很
兔子逗老鹰	惹祸上身；自取其祸；没事找事
兔子跟着马儿跑	望尘莫及
兔子构厥子	没后劲
兔子驾辕	不合套
兔子驾辕马拉车	乱了套
兔子驾辕牛打套	乱了套；乱套了
兔子见了鹰	毛了
兔子叫门	送上门的肉
兔子进磨道	充什么大耳朵驴
兔子靠腿狼靠牙	各有各的谋生法
兔子拉车	不懂那一套；又蹦又跳；连蹦带跳
兔子拉犁耙	力不能及；心有余而力不足；无能为力
兔子满山跑	还来归旧窝
兔子跑到磨坊里	假充大尾巴驴
兔子群里一只虎	庞然大物
兔子生耗子	一窝不如一窝
兔子尾巴	长不了
兔子下儿	与众不同
兔子宴请老虎	寅吃卯粮
兔子枕着猎枪睡	胆大包天
兔子坐上虎皮椅	六神无主
推车爬坡	越高越难
推开窗户	说亮话
推人下井还要滚石头	害人不浅
推土机进茅草地	斩草除根
推小车扭屁股	身不由己；不由自主
推小车上台阶	步步有坎；一步一个坎
推着车子上墙	白费功夫；枉费功
腿肚子搽粉	过份讲究
腿肚子抽筋	身不由己；寸步难行
腿肚子上贴门神	人走家搬
腿肚子上捅一刀	离心远着哪；离心远哩
腿瘸头歪屁股肿	不是好人
腿上绑轮子	跑得快
腿上绑绳子	拉倒
腿上的牛皮癣	顽固不化
腿上挂铃铛	走到哪，响到哪
腿上贴邮票	走人了
退潮的海滩	水落石出
吞金自杀	人财两空
吞了擀面杖	直肠子
吞了烟袋油的蛇	离死不远
托着扁担过马路	横行霸道
托着手鼓提着竹笛	又吹又拍；吹吹拍拍
拖车拉泰山	大头在后面；大的在后头
拖拉机爆胎	好大的气
拖拉机加油	来劲了
拖拉机犁大田	直来直去
拖拉机转弯	卷土重来
脱把锄头	没用处
脱钩的鲤鱼	不再上当
脱钩黄鳝漏网鱼	难兄难弟
脱祸求财	时来运转
脱缰的野马	抓不住；横冲直撞；无拘无束
脱裤子打老虎	既不要脸，又不要命
脱裤子放屁	多一道手续；多此一举
脱了把的斧头	无用
脱了轨的火车	翻了
脱了旧鞋换新鞋	改邪（鞋）归正
脱了裤子打老虎	又不要脸，又不要命
脱了裤子打扇	卖弄风流
脱了鳞的黄花鱼	不知死活
脱了鳞的黄鱼	一天比一天难过
脱了鳞的鱼	一天比一天难过
脱了毛的凤凰	不如鸡
脱了毛的刷子	有板眼；有板有眼
脱了绳的猴子	无拘有束
脱了线的气球	无牵无挂
脱毛的凤凰	不值钱
脱手的气球	无牵无挂；无牵挂
脱下毡帽补烂鞋	顾了这头丢那头
脱衣服烤火	多此一举；弄颠倒了
陀螺屁股	坐不住；坐不稳；立场不稳
驼背上山	不敢回头
驼子跛子睡一床	七拱八翘
驼子穿背心	遮不了丑
驼子打伞	背时（湿）
驼子捡针	伸手就是
驼子仰面睡	两头不着实
驼子作揖	出手不高；起手不难；顺便
鸵鸟钻沙堆	顾头不顾尾；藏头露尾
唾沫粘知了	办不到；没法办
娃儿的脸	一日三变
娃儿斗狗	回头一口
娃儿见了娘	笑逐颜开；喜笑颜开
娃儿哭了给娘抱	一推了事
娃娃摆积木	不成重来
娃娃背磨盘	加重负担
娃娃吃甘蔗	尝到甜头
娃娃吃面条	瞎抓
娃娃吃糖瓜	煳嘴
娃娃穿道袍	宽大无边
娃娃吹喇叭	小气
娃娃吹泡泡糖	口气不大
娃娃当家	啥事不懂
娃娃当司令	小人得志
娃娃荡秋千	两边摆
娃娃掉到糨糊盆里	糊涂人
娃娃掉到阴沟里	臭人
娃娃逗妹妹	嘻嘻哈哈
娃娃放风筝	抖起来了
娃娃放炮仗（爆竹）	又惊又喜
娃娃赶场	东张西望
娃娃供神佛	你哄我，我哄你
娃娃过年	真快活；不操心；光图吃；只讲吃；蹦得欢
娃娃嚼泡泡糖	吞吞吐吐
娃娃看飞机	人小见识高
娃娃看魔术	莫明其妙
娃娃看戏	欢天喜地
娃娃拿到新玩具	爱不释手
娃娃爬楼梯	上下两难；上下为难。
娃娃上街	哪里热闹到哪里
娃娃上了飞机	欢跃欲飞
娃娃拾花炮	沾沾自喜
娃娃耍刺猬	抱着嫌扎手，丢又舍不得
娃娃贴对子（对联）	上下不分；不分上下；倒贴
娃娃推平头	一扫光
娃娃玩肥皂泡	吹起来了
娃娃玩火	万万不可
娃娃玩陀螺	原地打转
娃娃下棋	胸无全局
娃娃学走路	左右摇摆；摇摆不定；一步步来
娃娃鱼的嘴	好吃
娃娃鱼爬上树	不算人
挖耳勺打酒	不是正经东西
挖耳勺里炒黄豆	一个个来
挖耳勺刨地	小抠
挖耳勺舀海水	不显眼
挖耳勺舀米汤	无济于事
挖好肉补烂疮	犯不着
挖井碰见喷泉	好极了；好得很
挖井碰上自流泉	正合心意（比喻正符合自己的想法。）
挖了眼当判官	瞎到底了
挖人墙脚补自己缺口	尽干缺德事
挖肉补疮	得不偿失
挖肉补脸蛋	忍痛图好看
挖塘甩泥鳅	一举两得
瓦背上的胡椒	两边滚
瓦房顶上盖草席	多此一举
瓦房上盖蒿草	怪物（屋）
瓦缸盆倒胡桃	一干二净
瓦罐里点灯	心里亮，肚里明
瓦罐里冒烟	土里土气；土气本
瓦匠干活	拖泥带水
瓦匠碰上鞋匠	帮不上忙
瓦匠砌墙	两面三刀
瓦片凿洞	捅漏子
瓦上结霜	不久长；难长久
瓦石榴	看得吃不得
袜筒改护腕	将就材料
袜子当帽子	臭出头了
袜子改长裤	高升
歪脖子出征	扭头就走
歪脖子挂项链	不见得美
歪脖子看表	观点不正（比喻没有一个正确的看法。）
歪脖子看戏	斜眼瞧人
歪脖子树上结歪梨	不成正果
歪脖子树	值（直）不得；成不了材；根子不正；难治（直）
歪脖子说话	嘴不对心
歪戴帽子歪穿袄	不成体统
歪戴帽子斜穿袄	不成体统
歪锅配扁灶	一套配一套；两将就
歪苗长歪树	根骨不正
歪墙开旁门	邪（斜）门
歪上轴承斜上轴	没安好心
歪头看戏怪台斜	无理取闹
歪歪嘴跌跤	上错下错；错上错下
歪嘴吃螺蛳	以歪就歪
歪嘴吃石榴	尽出歪点子
歪嘴吹灯	风气不正；一团邪（斜）气
歪嘴吹笛子	对不上眼
歪嘴吹海螺	歪对歪；两凑合
歪嘴吹号	正气不足，邪（斜）气有余
歪嘴吹喇叭	一股邪（斜）气
歪嘴戴口罩	看不出毛病
歪嘴当兵	马上丢人
歪嘴当骑兵	马上丢丑
歪嘴和尚	没正经
歪嘴和尚吃螺蛳	以歪就歪
歪嘴和尚吹灯	一股斜气
歪嘴和尚念经	说不出一句正经话
歪嘴讲故事	邪（斜）说
歪嘴佬吹喇叭	调子不正
歪嘴骡子卖个驴价钱	吃了嘴的亏
歪嘴婆娘跌跤	上错下也错
歪嘴婆婆喝汤	左喝右喝
歪嘴照镜子	不知自丑
外公死儿	没救（舅）
外贸商品不合格	难出口
外面得了一块板，屋里丢了双扇门	得不偿失
外婆待外甥	诚心实意
外婆得了个小儿子	有救（舅）了
外婆死了儿	没救（舅）；没有救（舅）
外甥不在家	有救（舅）
外甥打阿舅	公事公办（比喻不存私心，该怎么办就怎么办。）
外甥打灯笼	照旧（舅）
外甥打舅	公事公办；情理难容
外甥赴外公的宴	不客气
外甥披孝	无救（舅）
外甥找到姥姥家	有救（舅）
外头拾块铺衬，屋里丢件皮袄	得不偿失
外屋里的灶王爷	独座儿
外乡人过河	心里没底；不知深浅
外行人看魔术	莫明其妙
弯扁担吹火	一窍不通
弯扁担打蛇	两头不着实
弯刀遇见瓢切菜	正合适
弯藤结歪瓜	孬（nao 坏；不好）种；不是好种
弯腰拾稻草	轻而易举
剜草的拾了个南瓜	捡着大个的
剜了眼的判官	瞎鬼
完秆子顶石磙	头重脚轻
玩把势的绝技	耍花招
玩把戏的作揖	没咒念了
玩猴的丢了锣	耍不起来
玩猴的耍狐狸	不害臊；不知臊
玩火烧自身	自作自受
玩具店里的洋娃娃	讨人爱；有口无心；小手小脚
玩龙船的攀了个打花鼓的	穷对穷；一对穷
玩木偶的不出场	幕后操纵
玩木偶拉绳子	幕后操纵
玩狮舞戴道具	改头换面
玩戏法的丢了猴子	耍不起来
玩着滚轮打主意	想转了
宛平县的知县	管得宽
晚点的火车	赶得上
晚期肺结核	空空洞洞
晚上干活	披星戴月
晚上赶集	散了
碗边上的苍蝇	混饭吃
碗碴子（小碎块）剃头	难受
碗橱里打老鼠	难下手；碍手碍脚
碗底朝天	空空如也
碗底的豆子	历历（粒粒）在目
万花筒	千变万化
万顷黄沙一棵草	不显眼
万岁爷的茅侧	没有你的份（粪）
万岁爷的顺民	安分守己
万岁爷掉进井里	不敢劳（捞）驾；劳（捞）驾不起
万岁爷掉在井里	不敢劳（捞）你的大驾
万岁爷卖包子	御驾亲征（蒸）
万岁爷剃头	不要王法（发）
万丈悬崖上的鲜花	没人睬（采）
万丈悬崖上的鲜桃	没人睬（采）；没人尝过
亡羊补牢	为期不晚
王安石画圆圈	留下一个尾巴
王八背着两面鼓	人前一面，人后一面
王八吃鞭炮	憋气又窝火
王八吃秤砣	铁了心
王八吃柳条	满肚子瞎编；嘴能编
王八吃西瓜	滚的滚；爬的爬；连滚带爬
王八的脖子	能伸：能缩；缩回去了
王八的屁股	规定（龟腚）
王八肚上插鸡毛	龟（归）心似箭
王八肚子上插鸡毛	归（龟）心似箭
王八盖上插蜡扦	鬼（龟）火直冒
王八敬神	摆不上桌；上不了台盘
王八看绿豆	对土眼了
王八扛叉	自觉有光
王八嗑瓜	子当吃香
王八卖笊篱（zhao li 打捞取东西的用具。）	鳖编的
王八爬门槛	只看这一跌
王八上岸遇雹子	缩头缩脑
王八笑乌龟	彼此彼此；彼此一样
王八心肠	直肠直肚；装不住啥
王八咬手指	死不松口
王八遭棍打	缩头缩脑
王八照镜子	鳖形
王八钻鼠洞	大概（盖）难办
王八钻灶炕	憋气又窝火
王八作报告	憋（鳖>声憋（鳖）气
王八坐月子	完（玩）蛋
王宝铡爱上叫化子	有远见
王道士画符	自己明白
王二麻子挨打	敲到点子上
王二麻子当军师	点子多
王府的差役	难当
王府的管家，相府的丫鬟	当家不做主；有职无权
王府的管家	欺上瞒下
王府的丫鬟	低三下四
王魁负桂英	忘恩负义
王老道求雨	早晚在今年
王老二卖瓜	自卖自夸
王麻子吃核桃	里外出点子
王麻子的剪刀	名牌货；货真价实；名不虚传
王麻子中牛痘	悔之莫及；后悔已晚
王母娘的蟠桃	再好也吃不到
王母娘娘得子	天下喜事
王母娘娘的棒槌石	经过大阵势
王母娘娘缝花袄	神聊（缭）
王母娘娘开蟠桃会	聚精会神
王母娘娘伸手	要风得风，要雨得雨
王母娘娘走亲戚	腾云驾雾
王奶奶和玉奶奶	差一点；只差一点儿
王胖子的裤腰带	稀松平常（长）
王婆坏了磨	没法推；推不得
王婆卖瓜	旁人不夸自己夸；自卖自夸
王婆照应武大郎	没好事；不是好事
王七的兄弟	王八
王悄斗石崇	甘拜下风
王熙风管家	大有大的难处
王熙风弄权	聪明反被聪明误
王熙凤的为人	两面三刀
王羲之的字帖	别具一格
王羲之写字	人木三分；熟手
王瞎子看告示	装模作样
王先生和玉先生	只差一点
王小二过年	一年不如一年
王小二开饭店	看人下菜
王小二卖瓜	自卖自夸
王小二敲锣打鼓	穷得叮当响
王小二敲锣	穷得丁当响
王爷的奴才	听差的；百依百顺；低三下四
王爷的宅院	层层深入
王佐断臂	留一手；苦肉计
网包里的田鸡（青蛙）	瞎碰；瞎撞
网袋捞泥鳅	跑的跑，溜的溜
网兜打水	一场空
网兜装猪娃	露了蹄
网里的鱼，笼中的鸟	没跑；跑不了
网里的鱼虾	一个也溜不掉
网中抓鱼	笃定
往瘸子腿上踢	不近人情
往头上拉屎	成心糟踏人
往袜子上钉鞋掌	找错了地方；搞错了地方
望风扑影	一场空（比喻毫无所得。）
望江亭上度中秋	近水楼台先得月
望乡台上掉眼泪	死得好苦
望乡台上看牡丹	做鬼也风流
望乡台上抢元宝	贪心鬼
望乡台上戏牡丹	死风流；做鬼也风流
望远镜观天	一孔之见
望远镜看风景	近在眼前
望远镜照太平洋	一望无涯
巍巍大山	永不动摇
为打耗子伤玉瓶	因小失大
为灭虱子烧棉袄	因小失大；小题大做
为妻骂妾	迫不得已
为人作嫁	徒劳无功；徒劳无益
围棋盘里下象棋	不对路数
围棋盘内下象棋	不对路数
围着火炉吃冰糕	不知冷热
围着火炉吃西瓜	心上甜丝丝，身上暖烘烘
围着叫花子（乞丐）逗乐	拿穷人开心
围着叫化子逗乐	拿穷人开心
桅杆顶上吹唢呐	四方闻名（鸣）
桅杆顶上的海螺	靠天吃饭
桅杆顶上挂鱼肉	空张罗
桅杆顶上看人	把人看矮了
桅杆顶上耍把戏	爬得高，跌得重；武艺高
桅杆尖上的猴子	到顶了
桅杆开花	没指望
桅杆上的螺狮	靠天吃饭
桅杆上吊布袋	装疯（风）
桅杆上响喇叭	高调
桅杆做了顶门杠	大材小用
维吾尔族的朵帕	顶好
维吾尔族的姑娘	辫子多
维吾尔族姑娘的辫子	一抓就是一把
尾巴上绑芦花	冒充大公鸡
苇塘里掰植子	撂倒在地
卫生口罩	嘴上一套
未草里头藏龙身	农家出英才（比喻在平凡的地方或平凡的工作中出现了有才能的人。）
未婚妻做了望门寡	冤枉；太冤枉
喂兔养羊	本小利长
温火爆牛肉	慢工夫
温泉里洗澡	冷暖自己知
温室里的花朵	经不起风雨；经不起风吹雨打
温室里种庄稼	旱涝保收
温水烩饼子	皮热心凉
温水烫鸡毛	难扯
温水煮板栗	半生不熟
温汤里煮鳖	不死不活
瘟神下界	百姓遭难；四方遭灾
文火炖蹄�o（ti pang肘子）	慢慢来
文火煎鱼	慢慢来
文火蒸糕	闷（焖）起来了
文盲读《圣经》	两眼墨黑
文盲贴对子（对联）	不分上下；上下不分
文庙里卖《四书》	冒充圣人
文武大臣见皇上	三拜九叩
闻鼻烟蘸唾沫	假行家
闻着棺材唤儿香	死到临头
蚊虫遭扇打	吃了嘴的亏；全坏在嘴上
蚊龙翻大海	四方遭灾；百姓遭难
蚊龙造反	翻江倒海
蚊子挨人打	全怪那张嘴
蚊子唱小曲儿	要叮人
蚊子打哈欠	好大的口气
蚊子的力气	大不了
蚊子叮观音	看错了人；认错了人
蚊子叮鸡蛋	无孔不入；无缝可钻
蚊子叮泥像	没有人味
蚊子叮菩萨	不识相；找错了人
蚊子肚里找肝胆	故意刁难；有意为难
蚊子放屁	小气
蚊子飞到电灯上	弃暗投明
蚊子飞过能认公母	好眼力
蚊子含秤陀	嘴劲
蚊子趴在玻璃上	插不上嘴；难插嘴
蚊子头上长疮	没多少脓水
蚊子衔秤砣	好大的口气
蚊子咬秤砣	好硬的嘴
蚊子咬木偶	找错了对象
蚊子遭扇打	坏在嘴上
蚊子找蜘蛛	自投罗网
问客杀鸡	虚情假意
瓮中鳖，盘中鱼	没跑；跑不了
瓮中的王八	跑不了
瓮中的乌龟	处处碰壁
莴笋炒蒜苗	亲（青）上加亲（青）
窝里的马蜂	不是好惹的
窝里的蛇	不知长短
窝里的小鸟	迟早要飞走
窝窝头进贡	穷尽忠
窝窝头没眼儿	找着挨抠
窝窝头上坟	哄鬼；骗鬼；哄死人
窝窝头上蒸笼	盖了帽了
蜗牛的房子	背在身上
蜗牛赴宴	不速之客
蜗牛壳里睡觉	难翻身
蜗牛爬上葡萄架	光想高味
蜗牛赛跑	慢慢爬
蜗牛走路	慢腾腾
我解缆绳你推船	顺水人情
我心似你心	心心相印
握着棒槌当萝卜	不识货
握着蒺藜（ji li 一年生草本植物。果皮有尖刺）死不丢	不怕扎手
握着铁锹当锅使	穷极了
乌龟拜年	规规矩矩（鞠鞠）
乌龟变黄鳝	解甲归田
乌龟吃王八	六亲不认
乌龟吃乌贼（墨鱼）	黑心王八
乌龟吃萤火虫	心里亮；肚里明
乌龟打架	硬碰硬
乌龟的后代	龟儿子：
乌龟的脑壳	伸伸缩缩
乌龟垫床脚	硬撑；硬顶
乌龟掉缸里	跌跌爬爬
乌龟跌灰堆	憋气又窝火
乌龟肚子朝天	动弹不得
乌龟翻跟斗	窝脖
乌龟和王八	一模一样，一个样；没什么两样
乌龟进沙锅	丢盔卸甲
乌龟看天	伸伸缩缩
乌龟壳上贴广告	牌子硬
乌龟壳上找毛	枉费功；白费劲；白费功夫：
乌龟拉车	没后劲
乌龟落秤盘	自称自
乌龟买鳖价	不上算；不合算
乌龟撵（nian迫赶）兔子	赶不上；撵不上
乌龟爬门槛	就看此乙遭；早晚要栽跟头
乌龟爬旗杆	想高升
乌龟爬沙	慢慢来
乌龟爬树	上不去，无能为力
乌龟碰壁	得缩头时且缩头
乌龟请客	尽是王八
乌龟摔在石板上	碰上硬的了
乌龟腿上绑老鹰	想飞飞不了，想爬爬不动
乌龟吞煤球	黑心王八
乌龟驮西瓜	滚的滚，爬的爬
乌龟想骑凤凰背	痴心妄想
乌龟笑王八	一个样；彼此一样
乌龟咬王八	自家人不识自家人；一家人不，识二家人
乌龟遭棒打	缩头缩脑
乌龟找甲鱼	一路货色（比喻彼此一样。）
乌江岸上困霸王	四面楚歌
乌拉草（wu la cao 多年生草本植物。茎和叶晒干后垫在鞋或靴子里可以保暖）搀鸡毛	乱糟糟
乌拉草炒韭菜	乱七八糟
乌拉草成名	称宝不在贵贱
乌梢蛇打店	常（长）客
乌鸦扮孔雀	不伦不类
乌鸦不叫乌鸦	太平鸟
乌鸦长白毛	怪事一桩
乌鸦唱山歌	不堪入耳
乌鸦当头过	非灾即祸
乌鸦的下水（内脏）	黑心；黑了心
乌鸦叮蚌壳	脱不了爪爪
乌鸦落房头	开口是祸
乌鸦落在雪堆上	黑白分明
乌鸦笑猪黑	光看别人黑，不见自己黑；不知自丑；彼此彼此
乌鸦一字飞	一溜黑货
乌贼（墨鱼）吐墨	蒙混人
污水坑里的蛆虫	臭货；肮脏货
污水坑里竖旗杆	臭光棍
污水塘里泡豆芽	变味了
巫婆扮凶神	又丑又恶
巫婆打把势	装神弄鬼
巫婆改行	没人信
巫婆和鬼打架	病人跟着受难
巫婆扛锄头	装模作样；装样子
巫婆跳神	鬼花招
巫婆下神	装神弄鬼
巫师的行当	做人又做鬼
巫师转行	改恶从善
屋顶落魔鬼	祸从天降
屋顶上戳窟窿	捅漏子
屋顶上的王八	上不着天，下不着地
屋脊上蹲个猫	活受（兽）
屋脊上放西瓜	两边滚
屋脊上贴告示	天知道；天晓得
屋里翻跟头	里手
屋里放风筝	高也有限
屋里筑篱笆	一家分两家
屋门口的穿衣镜	正大光明
屋檐边的水	点滴不离窝
屋檐上挂马桶	臭名在外
屋檐下的冰凌	根子在上头
屋檐下的大葱	心不死；叶烂皮干心不死
屋檐下的麻雀	经不起风吹雨打
屋檐下吊石滚	严（檐）重
屋檐下躲雨	暂避一时；不长久
屋檐下挂猪胆	苦水滴滴
无边的大海	不知深浅
无病吃药	自讨苦吃
无病呻吟	装模作样；装样子
无底洞	深不可测
无舵的船	随波逐流
无二爷（无常鬼）卖布	鬼扯
无风不起浪	事出有因
无风下双锚	稳稳当当
无根的浮萍	漂浮不定；成不了材
无根的水草	漂浮不定
无花的蔷薇	浑身是刺；只有刺儿
无家可归的流浪汉	东游西荡
无赖打路人	无理取闹
无米之炊	难做
无米子（花生仁）的花生壳	肚里空
无蜜的蜂房	空空洞洞
无牛狗拉车	将就凑合
无牛捉了马耕田	大材小用
无事钻烟囱	自己给自己抹黑
无头的苍蝇	瞎碰；瞎撞
无头的乱麻	一团糟
无王的蜜蜂	乱了群
无弦的琵琶	谈（弹）不得；一丝不挂
无罪戴枷扳	冤枉；太冤枉
吴刚砍桂树	没完没：了
蜈蚣吃蝎子	以毒攻毒
蜈蚣遇到眼镜蛇	一个此一个毒
蜈蚣遇公鸡	命难逃
五百罗汉斗观音	兴师动众
五百年前的老槐树	盘根错节
五百铜钱串一处	半吊子
五尺布做裤衩	宽打窄用
五尺檩条盖鸡窝	屈了材料
五尺深的浑水潭	看不透
五朵梅花开一朵	四肢（枝）无力
五个和尚化缘	三心二意
五个指头两边矮	三长两短
五更天唱曲子	高兴得太早了
五更天的梆子	处处挨打
五更天的星星	稀少
五更天起床	渐渐明白
五更天下大雪	天明地白
五花大肉	有肥有肉
五黄六月长疥疮	热闹（挠）
五黄六月穿棉袄	摆阔气
五句话分两次讲	三言两语
五十两元宝	一定（锭）
五台山上拜佛	烧高香
五台山上的莽和尚	横头横脑
五月的麦子	黄了；一天变个样
五月的石榴花	一片红火；红火一片
五月天喝凉茶	美透了
午后见阳光	每况愈下
伍子胥过昭关	一夜愁白了头
忤逆子戴孝	装模作样
忤逆子讲《孝经》	假仁假义
武大郎的扁担	长不了
武大郎的身子	不够尺寸
武大郎肚子痛	死到临头；死在眼前
武大郎放风筝	起手不高
武大郎服毒	吃也死，不吃也死
武大郎开店	不容大个儿
武大郎开豆腐店	人软货不硬
武大郎看飞机	眼界不高
武大郎卖刺猬	扎手
武大郎卖面包	人土货洋
武大郎卖盆	一套一套的
武大郎攀杠子	上不着天，下不着地；自不量力；上下够不着
武大郎骑骆驼	能上不能下
武大郎娶妻	凶多吉少
武大郎耍棍子	人熊家伙笨
武大郎跳舞	抱粗腿
武大郎捉奸	力不能及；反被害了性命
武大郎坐天下	无人敢保
武大郎做知县	出身不高
武科场上选将	有本事就上
武松打店	自家人不识自家人；一家人不认一家人
武松打虎	一举成名；艺高胆大；气概不凡
武松打兔子	英雄无用武之地
武松看鸭子	英雄无用武之地
武松卖刺猬	人强货扎手
武松绣花	胆大心细
武竺景阳岗上遇大虫（老虎）	不是虎死，就是人伤
捂着鼻子闭着嘴	憋气；憋得难受
捂着鼻子讲卫生	不闻不问
捂着耳朵放炮	怕听偏见
捂着耳朵偷铃铛	自己骗自己
捂着脑袋赶老鼠	抱头鼠窜
捂着屁股过河	小心过度（渡）
捂着钱包捉贼	过分小心；小心过余
捂着眼睛捉麻雀	瞎摸
舞台上拜天地	假的
舞台上的道具	任人摆布；由人摆布
舞台上的二人转	一唱一和
舞台上的鼓槌	一对儿
舞台上的皮影戏	幕后操纵
舞台上喝酒	不见得有
雾里看指纹	看不出道道
雾天看远山	朦艨胧胧
雾中照相	眉目不清
雾中追车	路线不明
西北风刮蒺藜（ji li一年生草本植物。果皮有尖刺）	连讽（风）带刺
西瓜长爪子	能滚能爬
西瓜地里放野猪	一塌糊涂
西瓜地里落冰雹	砸啦
西瓜地里散步	左右逢源（圆）
西瓜掉在油桶里	滑头；滑头滑脑
西瓜落地	滚瓜烂熟
西瓜抹油	圆滑；又圆又滑
西瓜碰上菜刀	四分五裂
西瓜皮擦屁股	没完
西瓜皮搓澡	没完没了
西瓜皮钉鞋掌	开溜（比喻偷偷溜走。）；溜啦；不是这块料
西瓜皮揩屁股	一塌糊涂；不干不净
西瓜皮做帽子	霉到顶了；滑头滑脑；滑头
西瓜瓤里生蛆	坏透了
西瓜甜不甜	看心
西瓜子拌豆腐	黑白分明
西湖边搭草棚	煞风景
西门庆请武大郎	没安好心
西面敲鼓东面响	声东击西
西山猛虎不咬人	有假无真
西施掉了门牙	美中不足
西施上庵堂	美妙（庙）
西施坐飞机	美上天了
西天取经	任重道远
西厢记做枕头	痴人说梦
西装配拖鞋	不伦不类
吸烟烧枕头	自找麻烦
惜钱不治病	自己跟自己过不去
稀饭倒进口袋里	装糊涂
稀饭锅里扔铁砣	混蛋到底
稀饭铺路	一塌糊涂
稀狗屎上叉	白搭
稀泥巴搀水	难收拾；不可收拾
稀泥巴糊墙	扶不上去
稀泥巴里打桩	深不得，浅不得
稀泥蛋子	软货
稀泥抹墙	敷衍了事
嘻嘻哈哈，年过十八	虚度年华
膝盖上打瞌睡	自己靠自己
膝盖上钉掌	离题（蹄）太远
膝盖上放鸡蛋	不牢靠
膝盖头套袜子	不对路数
蟋蟀打架	看谁嘴硬
蟋蟀斗公鸡	各有一长
席包泥巴做被盖	卷土重来
席辫子上走棋子儿	不对路数
媳妇向公公借钱	挪用公款
洗菜的洗莱，剥葱的剥葱	各管一工
洗脚盆里游泳	扑腾不开，水平太低
洗脚盆做染缸	看你怎么摆布
洗脚水倒在秧田里	物尽其用
洗脚水倒在阴沟里	臭到一块了
洗脸盆里洗澡	扑腾不开
洗脸盆里游泳	水平太低（比喻学习、工作或能力太差。）
洗脸水里对硫酸	越洗越难看
洗米箩里出烟	淘气
洗衣不用搓板	凭两只手
喜欢狗狗舔口，喜欢猫猫上灶	不识抬举
喜马拉雅山上摆手	高招
喜马拉雅山上鸡儿叫	名（鸣）声远扬；远近闻名（鸣）；高明（鸣）
喜马拉雅山上卖牛黄	又高又贵；高贵
喜鹊的尾巴	爱翘
喜鹊登枝喳喳叫	无喜乐三分
喜鹊回窝凤还巢	安居乐业
喜鹊老鸦同枝叫	又喜又悲；悲喜交加
喜鹊落满树，乌鸦漫天飞	吉凶未卜
喜鹊落头上	红运将至
喜鹊窝里掏凤凰	搞错地方了
喜事碰上丧事	有哭有笑；又哭又笑；哭的哭；笑的笑
戏场里头打瞌睡	图热闹
戏台后头的锣鼓	没见过大场面
戏台上拜天地	快活一时
戏台上扮夫妻	假装；有名无实；无情无义
戏台上打架	没事儿；无关痛痒；不痛不痒
戏台上的绸子舞	抖起来了
戏台上的刀枪	全是假的
戏台上的灯光	引人注目
戏台上的夫妻	有名无实
戏台上的服饰	好景不长
戏台上的父子	没大没小
戏台上的公子	离不开扇子
戏台上的鼓槌	成双成对
戏台上的官	难长久；长不子
戏台上的花旦	引人注目
戏台上的皇帝	假威风
戏台上的将军	神气一时
戏台上的�r头	叫干啥就干啥
戏台上的娄罗	轮不到你（我）唱
戏台上的娄罗兵	多一个少一个无所谓；只能靠边站
戏台上的媒婆	妖里妖气
戏台上的朋友	假仁假义；虚情假意
戏台上的韦生	一表斯文
戏台上的小生	能文能武
戏台上的小卒	走过场
戏台上的演员	装模作样；装样子
戏台上的钟旭	不怕鬼
戏台上堵枪眼	死不了
戏台上赌咒	口是心非
戏台上卖螃蟹	买卖不大，：架子不小
戏台上跑龙套	走过场；摇旗呐喊
